source_ref,target_ref,relation,confidence,note,element_text
AA.I.A.K16,ac-120-76e,guidance,auto,from the Task A References line,The contents of the Pilot Owner's Handbook (POH) or Airplane Flight Manual (AFM) with regard to the systems and components in the airplane.
AA.I.A.K16,ac-91-78a,guidance,auto,from the Task A References line,The contents of the Pilot Owner's Handbook (POH) or Airplane Flight Manual (AFM) with regard to the systems and components in the airplane.
AA.I.A.K16,afh,explanation,auto,from the Task A References line,The contents of the Pilot Owner's Handbook (POH) or Airplane Flight Manual (AFM) with regard to the systems and components in the airplane.
AA.I.A.K16,risk-management,explanation,auto,from the Task A References line,The contents of the Pilot Owner's Handbook (POH) or Airplane Flight Manual (AFM) with regard to the systems and components in the airplane.
AA.I.A.K16,seaplane,explanation,auto,from the Task A References line,The contents of the Pilot Owner's Handbook (POH) or Airplane Flight Manual (AFM) with regard to the systems and components in the airplane.
AA.I.A.K17,ac-120-76e,guidance,auto,from the Task A References line,How to use a Minimum Equipment List (MEL) and a Configuration Deviation List (CDL).
AA.I.A.K17,ac-91-78a,guidance,auto,from the Task A References line,How to use a Minimum Equipment List (MEL) and a Configuration Deviation List (CDL).
AA.I.A.K17,afh,explanation,auto,from the Task A References line,How to use a Minimum Equipment List (MEL) and a Configuration Deviation List (CDL).
AA.I.A.K17,risk-management,explanation,auto,from the Task A References line,How to use a Minimum Equipment List (MEL) and a Configuration Deviation List (CDL).
AA.I.A.K17,seaplane,explanation,auto,from the Task A References line,How to use a Minimum Equipment List (MEL) and a Configuration Deviation List (CDL).
AA.I.A.K2,ac-120-76e,guidance,auto,from the Task A References line,"Powerplant–controls and indications, induction system, carburetor and fuel injection, turbocharging, cooling, mounting points, turbine wheels, compressors, deicing, anti-icing, and other related components."
AA.I.A.K2,ac-91-78a,guidance,auto,from the Task A References line,"Powerplant–controls and indications, induction system, carburetor and fuel injection, turbocharging, cooling, mounting points, turbine wheels, compressors, deicing, anti-icing, and other related components."
AA.I.A.K2,afh,explanation,auto,from the Task A References line,"Powerplant–controls and indications, induction system, carburetor and fuel injection, turbocharging, cooling, mounting points, turbine wheels, compressors, deicing, anti-icing, and other related components."
